GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201605150001,2016-05-15,"Iraq","Taji","Islamic State of Iraq and the Levant (ISIL)",0,,,,,20,20,Utilities,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,Unknown,
201605140044,2016-05-14,"Syria","Qamishli","Islamic State of Iraq and the Levant (ISIL)",0,,,,,6,0,Terrorists/Non-state Militia,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201605140022,2016-05-14,"Iraq","Qarbat Albu Hayyat","Islamic State of Iraq and the Levant (ISIL)",0,,,,,3,6,Police,Terrorists/Non-state Militia,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201605140021,2016-05-14,"Iraq","Amiriyat al-Fallujah","Islamic State of Iraq and the Levant (ISIL)",0,13,7,Private Citizens & Property,Middle East & North Africa,,,,Bombing/Explosion,Armed Assault,Explosives/Bombs/Dynamite,Firearms
201605130005,2016-05-13,"Iraq","Rawah","Islamic State of Iraq and the Levant (ISIL)",0,,,,,Unknown,Unknown,Military,Terrorists/Non-state Militia,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201605120022,2016-05-12,"Iraq","Balad","Islamic State of Iraq and the Levant (ISIL)",0,,,,,7,2,Police,Terrorists/Non-state Militia,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Firearms,,
201605120011,2016-05-12,"Iraq","Makhmur","Islamic State of Iraq and the Levant (ISIL)",0,,,,,63,2,Military,Terrorists/Non-state Militia,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,Unknown,
201605120006,2016-05-12,"Iraq","Abu Ghraib","Islamic State of Iraq and the Levant (ISIL)",0,,,,,5,8,Police,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201605110023,2016-05-11,"Iraq","Baghdad","Islamic State of Iraq and the Levant (ISIL)",0,,,,,65,87,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201605110019,2016-05-11,"Iraq","Baghdad","Islamic State of Iraq and the Levant (ISIL)",0,,,,,13,31,Police,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201605110018,2016-05-11,"Iraq","Baghdad","Islamic State of Iraq and the Levant (ISIL)",0,,,,,18,43,Police,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201605100025,2016-05-10,"Iraq","Ramadi","Islamic State of Iraq and the Levant (ISIL)",0,,,,,1,0,Unknown,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201605090008,2016-05-09,"Iraq","Baqubah","Islamic State of Iraq and the Levant (ISIL)",0,,,,,12,40,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201605080006,2016-05-08,"Iraq","Abu Ghraib","Islamic State of Iraq and the Levant (ISIL)",0,,,,,7,11,Private Citizens & Property,Terrorists/Non-state Militia,Police,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201605050034,2016-05-05,"Syria","Al-Mukharram","Islamic State of Iraq and the Levant (ISIL)",0,,,,,6,20,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201605050009,2016-05-05,"Iraq","Mosul","Islamic State of Iraq and the Levant (ISIL)",0,,,,,20,0,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201605030004,2016-05-03,"Iraq","Tal Saquf","Islamic State of Iraq and the Levant (ISIL)",0,,,,,Unknown,Unknown,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,Firearms,
