Id,Label,timeset,modularity_class,indegree,outdegree,Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
AbedAlii,AbedAlii,,3,1,0,1,0.001721,0,0,0,0
Ford,Ford,,13,1,0,1,0.001721,0,0,0,0
battosaikaito,battosaikaito,,26,1,0,1,0.083867,0,0,0,0
GENERALFALLUJ35,GENERALFALLUJ35,,22,1,0,1,0.004981,0,0,0,0
Mountainzzzzzas,Mountainzzzzzas,,13,1,0,1,0.06556,0,0,0,0
2222_Dreamland,2222_Dreamland,,14,1,0,1,0.024877,0,0,0,0
Mario_Greenly,Mario_Greenly,,7,1,0,1,0.090381,0,0,0,0
Altarefe_En,Altarefe_En,,8,2,0,2,0.007642,0,0,0,0
MOD_Russia,MOD_Russia,,27,1,0,1,0.007543,0,0,0,0
abunighty4,abunighty4,,11,1,0,1,0.012813,0,0,0,0
vine,vine,,11,1,0,1,0.012813,0,0,0,0
chihebkhas,chihebkhas,,23,1,0,1,0.166677,0,0,0,0
umulbanat1,umulbanat1,,5,1,0,1,0.002808,0,0,0,0
DriftOne071,DriftOne071,,25,1,0,1,0.001721,0,0,0,0
ianbremmer,ianbremmer,,25,3,0,3,0.156999,0,0,0,0
AdamHasakah658,AdamHasakah658,,13,3,0,3,0.215159,0,0,0,0
cedikme,cedikme,,26,1,0,1,0.083867,0,0,0,0
Raqqa_SL,Raqqa_SL,,3,8,0,8,0.128863,0,0,0,0
ummnusayba_04,ummnusayba_04,,2,1,0,1,0.002567,0,0,0,0
eneyaxe,eneyaxe,,25,1,0,1,0.002808,0,0,0,0
DorarShami,DorarShami,,7,2,0,2,0.160706,0,0,0,0
NurAl__Iman,NurAl__Iman,,26,1,0,1,0.083867,0,0,0,0
HanbaliSan,HanbaliSan,,26,1,0,1,0.083867,0,0,0,0
lyer12tey,lyer12tey,,11,1,0,1,0.012813,0,0,0,0
Anominon,Anominon,,23,1,0,1,0.166677,0,0,0,0
nightwalker_137,nightwalker_137,,13,1,0,1,0.06556,0,0,0,0
lukesmithnews,lukesmithnews,,25,3,0,3,0.131133,0,0,0,0
USMC,USMC,,7,1,0,1,0.090381,0,0,0,0
shafaatnabi,shafaatnabi,,27,1,0,1,0.004834,0,0,0,0
LouisWitter,LouisWitter,,26,1,0,1,0.083867,0,0,0,0
BintSaande,BintSaande,,26,1,0,1,0.083867,0,0,0,0
slum_1437,slum_1437,,13,1,0,1,0.046761,0,0,0,0
boibraheem,boibraheem,,23,1,0,1,0.166677,0,0,0,0
sercndgn,sercndgn,,19,1,0,1,0.018083,0,0,0,0
xxvvvxxxxxxx,xxvvvxxxxxxx,,7,1,0,1,0.090381,0,0,0,0
NaserElKhilafa,NaserElKhilafa,,20,1,0,1,0.007386,0,0,0,0
SCREW_U_TWEETA,SCREW_U_TWEETA,,2,6,0,6,0.030762,0,0,0,0
adnanhobalah,adnanhobalah,,23,1,0,1,0.166677,0,0,0,0
JooniIsrar,JooniIsrar,,2,3,0,3,0.076304,0,0,0,0
PetoLucem,PetoLucem,,24,3,0,3,0.253956,0,0,0,0
jujl_gatame,jujl_gatame,,26,1,0,1,0.083867,0,0,0,0
TechChef_Inc,TechChef_Inc,,24,1,0,1,0.003412,0,0,0,0
GreatISNation00,GreatISNation00,,6,1,0,1,0.002808,0,0,0,0
DailyMail,DailyMail,,26,1,0,1,0.083867,0,0,0,0
TunsiMarwan_VSO,TunsiMarwan_VSO,,11,1,0,1,0.012813,0,0,0,0
slwan1959,slwan1959,,23,1,0,1,0.166677,0,0,0,0
inglesi,inglesi,,24,1,0,1,0.003412,0,0,0,0
khorasan15_01,khorasan15_01,,2,1,0,1,0.001721,0,0,0,0
CelticMuslim,CelticMuslim,,14,2,0,2,0.191411,0,0,0,0
adamks_,adamks_,,26,1,0,1,0.083867,0,0,0,0
SkyNews,SkyNews,,22,3,0,3,0.051708,0,0,0,0
FBIWFO,FBIWFO,,23,1,0,1,0.166677,0,0,0,0
pieternanninga,pieternanninga,,3,12,0,12,0.252145,0,0,0,0
iislamic82,iislamic82,,9,1,0,1,0.002808,0,0,0,0
meiyinkun5,meiyinkun5,,27,3,0,3,0.094822,0,0,0,0
telesurenglish,telesurenglish,,7,1,0,1,0.090381,0,0,0,0
ANFKURDI,ANFKURDI,,7,1,0,1,0.090381,0,0,0,0
jasminechic1,jasminechic1,,24,1,0,1,0.003412,0,0,0,0
6789haqq,6789haqq,,20,1,0,1,0.003153,0,0,0,0
RT_com,RT_com,,15,5,0,5,0.172138,0,0,0,0
omarbula,omarbula,,13,1,0,1,0.001721,0,0,0,0
InviteToIslam,InviteToIslam,,20,2,0,2,0.008861,0,0,0,0
ICC,ICC,,27,1,0,1,0.004834,0,0,0,0
MmaGreen,MmaGreen,,13,2,0,2,0.039635,0,0,0,0
DreadMozlum,DreadMozlum,,14,2,0,2,0.054445,0,0,0,0
un,un,,3,1,0,1,0.002808,0,0,0,0
francetvinfo,francetvinfo,,26,1,0,1,0.083867,0,0,0,0
safiyaimback1,safiyaimback1,,9,1,0,1,0.002808,0,0,0,0
