,name,username,description,location,followers,numberstatuses,time,tweets,Label,url,lang,mentions,hashtags
951,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24,144,6/1/2016 6:00,RT : ,,['https://t.co/KoHqc9bpEL'],en,['@freeOurSisters1'],[]
925,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121,4992,4/1/2016 18:00,RT : You missed a prayer. 💔 ,,['https://t.co/UYSvByCDBi'],en,['@SheikhQuotes'],[]
2043,Al-Battar English,Al_Battar_Engl,,,117,144,30/1/2016 20:00,"#IslamicState
#WilayatAlKhyar
Images of the Two #Martydom_operations that targeted the #Nuseyri forces 
1/2 ",P,['https://t.co/sVS9Vxwjtt'],en,[],"['#IslamicState', '#WilayatAlKhyar', '#Martydom_operations', '#Nuseyri']"
1266,Asim Abu Merjem,AsimAbuMerjem,"Servant of Allah, in need of Allah's mercy !!!",,742,348,17/1/2016 22:00," Massive TACTICAL RETREAT of ""brave"" SAA soldiers in Deir Ezzor...",O,[],en,['@leithfadel'],[]
1855,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593,908,29/1/2016 18:00,"Western secular humanist values:
",O,['https://t.co/IMfvB8ZDqd'],en,[],[]
1703,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392,743,28/1/2016 8:00,#سامراء tough clashes still ongoing around. #Iraq helis are active in Sharif Abbas area west f the city. Reports f reinforcements for army.,N,[],en,[],"['#سامراء', '#Iraq']"
1125,War Reporter,warreporter2,"Reporting, analysing and discussing conflicts and terrorist movements, with a focus primarily on MENA","München, Deutschland",139,656,14/1/2016 12:00,RT : #Syria path of Tawheed - from the official Acc of Jabhat al Nusra (AQ) a ishtihadi attack notice the index finger http…,P,[],en,['@thevictoryseri4'],['#Syria']
1583,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411,232,26/1/2016 11:00, that's the disgusting part 😤,O,[],en,['@KhattabHamza123'],[]
595,War Reporter,warreporter2,"Reporting, analysing and discussing conflicts and terrorist movements, with a focus primarily on MENA","München, Deutschland",130,656,19/11/2015 20:00, AQ?,O,[],en,['@The_Muwahhid'],[]
1367,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121,4992,20/1/2016 11:00,Some military chiefs gather in Paris to plot against Islamic State. via ,O,['https://t.co/acTmMu9u0w'],en,['@Reuters'],[]
1292,s.o.dawlah,1Dawlah_III,,,632,333,19/1/2016 4:00,"#WilayatSayna 
Caliphate soldiers execute two Egyptian Army spies. 📷  ",P,"['https://t.co/SN4PumUNEA', 'https://t.co/mUmJFDrgWy']",en,[],['#WilayatSayna']
