,name,username,description,location,followers,numberstatuses,time,tweets,url,lang,mentions,hashtags
951,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24.0,144.0,2016-01-06 06:00:06,RT : ,['https://t.co/KoHqc9bpEL'],en,['@freeOurSisters1'],[]
925,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121.0,4992.0,2016-01-04 18:00:25,RT : You missed a prayer. 💔 ,['https://t.co/UYSvByCDBi'],en,['@SheikhQuotes'],[]
2043,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-30 20:00:10,"#IslamicState
#WilayatAlKhyar
Images of the Two #Martydom_operations that targeted the #Nuseyri forces 
1/2 ",['https://t.co/sVS9Vxwjtt'],en,[],"['#IslamicState', '#WilayatAlKhyar', '#Martydom_operations', '#Nuseyri']"
1266,Asim Abu Merjem,AsimAbuMerjem,"Servant of Allah, in need of Allah's mercy !!!",,742.0,348.0,2016-01-17 22:00:25," Massive TACTICAL RETREAT of ""brave"" SAA soldiers in Deir Ezzor...",[],en,['@leithfadel'],[]
1855,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593.0,908.0,2016-01-29 18:00:51,"Western secular humanist values:
",['https://t.co/IMfvB8ZDqd'],en,[],[]
1703,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-28 08:00:01,#سامراء tough clashes still ongoing around. #Iraq helis are active in Sharif Abbas area west f the city. Reports f reinforcements for army.,[],en,[],"['#سامراء', '#Iraq']"
1125,War Reporter,warreporter2,"Reporting, analysing and discussing conflicts and terrorist movements, with a focus primarily on MENA","München, Deutschland",139.0,656.0,2016-01-14 12:00:07,RT : #Syria path of Tawheed - from the official Acc of Jabhat al Nusra (AQ) a ishtihadi attack notice the index finger http…,[],en,['@thevictoryseri4'],['#Syria']
1583,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-26 11:00:48, that's the disgusting part 😤,[],en,['@KhattabHamza123'],[]
595,War Reporter,warreporter2,"Reporting, analysing and discussing conflicts and terrorist movements, with a focus primarily on MENA","München, Deutschland",130.0,656.0,2015-11-19 20:00:27, AQ?,[],en,['@The_Muwahhid'],[]
1367,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121.0,4992.0,2016-01-20 11:00:20,Some military chiefs gather in Paris to plot against Islamic State. via ,['https://t.co/acTmMu9u0w'],en,['@Reuters'],[]
